DATE,TRANSECT,DISTANCE,FLUX,THETA,T5,T12,T20,REDOX1,REDOX2
7/6/2014,A,0,9.698974139,47.333,30.65,24.53,23.65,NA,NA
7/6/2014,A,5,9.698974139,52.67,27.6,26.2,21.85,NA,NA
7/6/2014,A,10,7.54247772,55,26.6,NA,22.1,NA,NA
7/6/2014,A,15,7.384685299,67.33,29.7,NA,23.2,NA,NA
7/6/2014,A,20,4.62857768,66.33,31.45,NA,23.05,NA,NA
7/10/2014,B,0,8.583907698,43,30.16,27.67,25.65,NA,NA
7/10/2014,B,5,7.531958225,45.33,32.05,29.4,27.7,NA,NA
7/10/2014,A,0,11.36105431,NA,31.57,27.06,24.33,NA,NA
7/10/2014,A,5,8.268322856,NA,26.45,23.86,22.26,NA,NA
7/10/2014,A,10,6.406372289,54,24.6,23.4,22.1,NA,NA
7/10/2014,A,15,3.913252039,65.67,29.16,26.35,24.16,NA,NA
7/10/2014,A,20,3.818576586,69.67,30.6,27.3,24.5,NA,NA
7/17/2014,B,0,4.575980207,40.3,24.15,23.35,23.65,NA,NA
7/17/2014,B,5,6.501047742,49.33,26,25.05,25.5,NA,NA
7/17/2014,A,0,10.85611856,47.67,24.9,22.1,21.4,NA,NA
7/17/2014,A,5,7.226892878,52.67,25,20.8,21.15,NA,NA
7/17/2014,A,10,7.069100457,54.67,25.4,22.4,21.9,NA,NA
7/17/2014,A,15,6.532606226,64.33,27.2,23.45,22.75,NA,NA
7/17/2014,A,20,2.650912671,64.33,25.6,22.1,21.55,NA,NA
7/17/2014,A,25,1.009871494,68.67,27.2,23.1,25.05,NA,NA
7/24/2014,B,0,7.447802267,37.67,24.8,24.95,NA,0.72,1.01
7/24/2014,B,5,6.911308036,40,26.55,26.6,NA,0.64,1.44
7/24/2014,B,10,4.323512333,47,26.6,26.35,NA,0.54,0.38
7/24/2014,C,0,NA,37.67,25.6,23.7,23.5,NA,NA
7/24/2014,C,5,4.355070817,63,26.35,25.65,25.1,NA,NA
7/25/2014,A,0,7.668711656,57.5,24.9,22.05,21.7,NA,NA
7/25/2014,A,5,7.447802267,49.33,22.45,21.45,21.1,NA,NA
7/25/2014,A,10,9.688454644,54.67,26.5,22.7,21.9,NA,NA
7/25/2014,A,15,6.343255321,58.3,24.2,22.95,22.5,NA,NA
7/25/2014,A,20,5.975073005,68.67,25.75,23.5,22.2,NA,NA
7/26/2014,B,0,8.394556793,35.33,23.13,23.2,22.7,NA,NA
7/26/2014,B,5,4.986240501,44,25.35,24.65,24.1,NA,NA
7/26/2014,B,10,6.406372289,49.66,30.95,26.75,24.8,NA,NA
8/4/2014,A,0,6.848191068,39.66,24,22.5,21.2,0.44,0.32
8/4/2014,A,10,10.9823525,47.66,25.3,22.4,21.4,-0.224,-0.168
8/4/2014,A,20,4.197278396,61.3,28.8,23.8,22,-0.221,-0.191
